StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q39,Q1,Q1_6_TEXT,Q1,Q3,Q4,Q10_1,Q10_2,Q10_3,Q40_1,Q40_2,Q43,Q44,Q11,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q5,Q6,Q7,Q8,Q9,Q32,Q36,Q35,Q34,Q33,Q15,Q16,Q14
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By completing the survey, you are agreeing to all the information outlined in this consent form and would like to participate in the study.",Are you currently a certified and licensed SLP with ASHA?,What is your gender: - Selected Choice,What is your gender: - Specify: - Text,"50 States, D.C. and Puerto Rico",What type of geographical area do you work in,What work setting do you currently work in?,"If both, please approximate how many hours a week you dedicate to each kind of caseload: - Medical clients","If both, please approximate how many hours a week you dedicate to each kind of caseload: - Educational clients","If both, please approximate how many hours a week you dedicate to each kind of caseload: - Non-rehabilitative/Non-habilitative clients /Academia (accent therapy services, professional communication skills training, etc.)",How many years of experience do you have within the field: - Medical setting,How many years of experience do you have within the field: - Educational setting,Was becoming a speech-language pathologist your first career choice?,"If you selected no, what career did you previously have? (optional)",I feel emotionally drained by my work.,Working with patients/family/caregivers all daylong requires a great deal of effort.,I feel like my work is breaking me down.,I feel that I work too hard at my job.,It stresses me too much to work in direct contact with patients/family/caregivers,I feel I deal with colleagues or clients impersonally as if they were objects.,I feel tired when I get up in the morning and have to face another day at work.,I have the impression that my colleagues or clients make me responsible for some of their work-related problems.,I am more insensitive to people I am working with.,I am afraid that my job is making me uncaring.,I have accomplished many worthwhile things in the job.,I look after my colleagues' or clients' problems very effectively.,"In my work, I handle emotional problems very calmly.","Through my work, I feel that I have a positive influence on patients/family/caregivers.",I am easily able to create a relaxed atmosphere with my colleagues or patients/family/caregivers at work.,I feel the administration at my work environment is supportive.,"I feel overwhelmed by my administrative-related work that needs to be done (SOAP notes, IEPs, progress reports/notes, etc.).",I spend a significant time outside of my work setting to complete my work.,I feel that my caseload is manageable.,I feel my administrative-related work does allow for me to take breaks or enjoy a proper lunch break.,I feel that teletherapy decreases my effectiveness at my job.,I feel that mask wearing for the client negatively impacts their potential therapy progression.,"I feel that mask wearing, for myself, hinders my ability to run a therapy session.","The uncertainty of new restrictions and regulations, due to the pandemic, causes me stress (such as temporary facility closure, altered case load, or drastic change in work schedule).","I feel confident that my supervisors provide me with support and accommodations regarding pandemic practices, such as proper PPE, and support for implementing teletherapy, when needed.","Has burnout caused you to search for mental health services or to contemplate a career change? If so, please elaborate on how mental health services have helped you or whether you have acted on switching career paths or work setting. Switching career paths can include applying to other jobs or seeking to obtain a different degree.","If you have experienced working in both types of work settings, please share any insights you have gained regarding a presence or a lack of support for your mental health?",Please note any other work-related stressors that you believe has impacted your job satisfaction and/or overall well being that has not been mentioned in this survey.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID37""}","{""ImportId"":""QID42""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_6_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID4""}","{""ImportId"":""QID2""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID32""}","{""ImportId"":""QID36""}","{""ImportId"":""QID35""}","{""ImportId"":""QID34""}","{""ImportId"":""QID33""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID14_TEXT""}"
2022-10-05 19:39:57,2022-10-05 19:40:06,IP Address,24.186.34.46,100,9,True,2022-10-05 19:40:06,R_SU9uoL96Q7V4gMh,,,,,40.8018,-72.8675,anonymous,EN,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 19:40:20,2022-10-05 19:40:28,IP Address,24.186.34.174,100,7,True,2022-10-05 19:40:28,R_xu2dpagPb0ZZOaB,,,,,40.7957,-72.7974,anonymous,EN,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 19:40:09,2022-10-05 19:40:35,IP Address,69.125.97.233,100,26,True,2022-10-05 19:40:35,R_cwN3bH1Hrxz0o3n,,,,,40.8091,-72.8564,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-05 19:42:38,2022-10-05 19:46:42,IP Address,69.125.97.233,100,244,True,2022-10-05 19:46:42,R_ZktuWyQhIysoog1,,,,,40.8091,-72.8564,anonymous,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Medical,23,20,14,8,8,Yes,,A few times per year,Once a month,A few times per month,A few times per year,Once a month,Once a week,A few times per week,Once a week,A few times per month,Once a month,A few times per year,A few times per year,Once a month,Once a week,A few times per month,Once a month,A few times per month,Once a month,Every day,A few times per month,Once a month,A few times per month,Once a month,A few times per year,A few times per year,test run,test run,test run
2022-10-05 19:42:25,2022-10-05 19:47:28,IP Address,24.186.34.174,100,303,True,2022-10-05 19:47:28,R_1oBTNFcRA6wqD0D,,,,,40.7957,-72.7974,anonymous,EN,I agree,Yes,Female,,Indiana,Rural (population of less than 10k),Medical,35,6,,10,2,Yes,,Once a month,A few times per year,Once a month,Once a month,Once a month,A few times per year,A few times per month,Once a month,Once a month,Never,A few times per month,A few times per month,Once a month,Once a month,Once a week,A few times per week,A few times per month,Once a month,A few times per month,Once a week,A few times per week,A few times per month,Once a month,A few times per month,Once a month,It's Ang l! TEST 1,Na,Na
2022-10-05 19:42:26,2022-10-05 19:54:01,IP Address,47.18.159.74,100,694,True,2022-10-05 19:54:02,R_3lGmHpBZCaRHUNs,,,,,40.8431,-73.2809,anonymous,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Educational,,41,,0,3,No,Psychology,A few times per week,A few times per week,A few times per week,Every day,A few times per week,A few times per year,Once a week,Never,Once a week,A few times per month,Every day,Never,A few times per month,A few times per week,A few times per week,A few times per month,A few times per week,Once a week,Once a week,Once a week,Every day,Every day,Every day,Once a week,Every day,"Test run, Jocelyn S.- No.","Test run, Jocelyn S.- I do not have experience working in both types of work settings. ","Test run, Jocelyn S.-Communting in traffic"
2022-10-06 11:24:16,2022-10-06 11:30:57,IP Address,69.74.161.98,100,400,True,2022-10-06 11:30:57,R_4Gxq5OAryKSUE01,,,,,40.9426,-73.1116,anonymous,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Educational,,,,5,5,Yes,,Once a week,Once a week,Once a month,Once a month,Once a month,A few times per year,A few times per month,A few times per month,Once a month,Never,Once a week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per month,A few times per week,Every day,A few times per month,Once a week,Once a month,Once a week,Every day,A few times per week,A few times per month,"TEST-Olivia ",TEST,TEST
2022-10-06 12:22:13,2022-10-06 13:00:44,IP Address,24.186.207.139,100,2310,True,2022-10-06 13:00:45,R_2V3YhLgD2y0JHug,,,,,40.7319,-73.2202,anonymous,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Both,15,25,,4,4,Yes,,A few times per month,A few times per week,Once a month,A few times per year,A few times per year,Never,A few times per year,A few times per year,Never,Never,Once a month,A few times per month,Every day,Every day,Every day,A few times per month,A few times per week,Once a week,Never,Once a month,Never,A few times per week,Every day,A few times per year,Every day,Test-Run,Test-Run,Test-Run
